Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,251,11,▲,90,54
Minnesota,250,10,▲,87,53
New Hampshire,249,9,▲,91,51
Indiana,248,8,▲,89,50
DoDEA,248,8,▲,90,49
Wyoming,247,7,▲,88,48
Virginia,247,7,▲,87,47
New Jersey,245,6,▲,86,47
Washington,245,5,▲,83,47
North Dakota,245,5,▲,88,45
Texas,244,4,▲,86,44
Nebraska,244,4,▲,86,46
North Carolina,244,4,▲,85,44
Ohio,244,4,▲,85,45
Iowa,243,3,▲,84,44
Pennsylvania,243,3,▲,83,45
Wisconsin,243,3,▲,83,45
Vermont,243,3,▲,85,43
Florida,243,3,▲,85,42
Utah,243,3,▲,84,44
Maine,242,2,▲,85,41
Kentucky,242,2,♦,84,40
Colorado,242,2,♦,82,43
Montana,241,1,♦,84,41
Kansas,241,1,♦,83,41
Tennessee,241,1,♦,82,40
Connecticut,240,#,♦,81,41
National public,240,†,,81,39
Oklahoma,240,#,♦,84,37
South Dakota,240,#,♦,83,40
Maryland,239,#,♦,79,40
Missouri,239,-1,♦,82,38
Idaho,239,-1,♦,80,38
Delaware,239,-1,♦,82,37
Rhode Island,238,-2,▼,80,37
Hawaii,238,-2,▼,79,38
Oregon,238,-2,♦,79,37
Arizona,238,-2,▼,79,38
Illinois,237,-3,♦,77,37
South Carolina,237,-3,▼,79,36
New York,237,-3,▼,79,35
Georgia,236,-3,▼,78,35
Alaska,236,-4,▼,78,35
Michigan,236,-4,▼,77,34
Arkansas,235,-5,▼,79,32
West Virginia,235,-5,▼,78,33
Louisiana,234,-6,▼,78,30
Mississippi,234,-6,▼,78,30
Nevada,234,-6,▼,76,32
California,232,-8,▼,72,29
District of Columbia,231,-9,▼,69,31
New Mexico,231,-9,▼,73,27
Alabama,231,-9,▼,75,26
Puerto Rico,183,-57,▼,11,#
